Category,Count,Percentage
library,162,0.16527070729741586
church_cathedral,1306,1.332367553891513
media_news_company,37,0.037747013395088805
eat_and_drink,115,0.1173217983901409
barber,384,0.39175278766794874
medical_service_organizations,64,0.06529213127799145
tattoo_and_piercing,326,0.332581793697269
college_university,718,0.7324960977749666
beauty_salon,1862,1.8995929443690638
beauty_and_spa,634,0.6468001754726028
marriage_or_relationship_counselor,9,0.009181705960967547
financial_service,935,0.9538772303894063
seafood_restaurant,93,0.09487762826333132
mexican_restaurant,233,0.23770416543393763
skin_care,66,0.06733251038042867
landscaping,202,0.20607828934616051
education,588,0.5998714561165465
fashion,109,0.11120066108282918
jewelry_store,697,0.7110721171993757
travel_services,474,0.4835698472776242
cosmetic_and_beauty_supplies,199,0.20301772069250468
hvac_services,257,0.2621887146631844
religious_organization,642,0.6549616918823518
engineering_services,205,0.20913885799981635
doctor,253,0.25810795645831
dance_club,194,0.1979167729364116
machine_shop,16,0.016323032819497863
skate_park,8,0.008161516409748932
campground,38,0.03876720294630742
beauty_product_supplier,29,0.02958549698533988
restaurant,1323,1.3497107762622296
agriculture,8,0.008161516409748932
central_government_office,112,0.11426122973648503
shipping_center,46,0.04692871935605636
italian_restaurant,260,0.2652492833168403
shopping,709,0.723314391813999
american_restaurant,72,0.07345364768774038
canoe_and_kayak_hire_service,8,0.008161516409748932
cafe,429,0.43766131747278647
caterer,221,0.22546189081931423
hardware_store,157,0.1601697595413228
bar,431,0.4397016965752237
hotel,464,0.47336795176543806
bank_credit_union,569,0.5804878546433927
propane_supplier,4,0.004080758204874466
shooting_range,5,0.005100947756093082
butcher_shop,143,0.14588710582426215
public_and_government_association,192,0.19587639383397437
elementary_school,743,0.758000836555432
agricultural_service,14,0.014282653717060629
farm,26,0.026524928331684027
truck_rentals,58,0.05917099397067976
fire_department,65,0.06631232082921007
automotive_repair,1186,1.209944807745279
firework_retailer,31,0.03162587608777711
post_office,102,0.10405933422429887
car_dealer,571,0.58252823374583
pub,239,0.24382530274124933
currency_exchange,129,0.1316044521072015
botanical_garden,6,0.006121137307311699
home_improvement_store,302,0.30809724446802217
art_gallery,505,0.5151957233654013
luggage_storage,15,0.015302843268279246
broadcasting_media_production,318,0.32442027728752004
web_designer,319,0.3254404668387387
professional_services,2958,3.017720692504667
health_and_medical,510,0.5202966711214944
environmental_testing,15,0.015302843268279246
magician,5,0.005100947756093082
flowers_and_gifts_shop,573,0.5845686128482672
educational_services,183,0.1866946878730068
apartments,77,0.07855459544383347
women's_clothing_store,627,0.6396588486140725
fashion_accessories_store,151,0.15404862223401108
event_planning,609,0.6212954366921374
graphic_designer,179,0.18261392966813234
tours,99,0.10099876557064302
wholesale_store,179,0.18261392966813234
optometrist,287,0.2927944011997429
business,155,0.15812938043888555
landmark_and_historical_building,1407,1.4354066985645932
automotive_parts_and_accessories,179,0.18261392966813234
community_services_non_profits,1988,2.0281368278226095
mass_media,70,0.07141326858530316
life_coach,43,0.04386815070240051
lake,50,0.05100947756093082
passport_and_visa_services,102,0.10405933422429887
counseling_and_mental_health,398,0.40603544138500935
wedding_planning,108,0.11018047153161056
hair_salon,684,0.6978096530335336
bar_and_grill_restaurant,96,0.09793819691698719
psychic,124,0.12650350435110844
attractions_and_activities,99,0.10099876557064302
radio_station,30,0.030605686536558492
fire_protection_service,27,0.02754511788290264
farmers_market,54,0.05509023576580528
wildlife_hunting_range,1,0.0010201895512186164
carpet_cleaning,44,0.044888340253619124
rv_park,9,0.009181705960967547
real_estate_agent,2736,2.7912386121341344
